"tipo_o_rol_declarante";"nombre_establecimiento";"razon_social";"id_establecimiento_vu";"rubro_retc";"region";"provincia";"comuna";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁNGELES";"I MUNICIPALIDAD DE LOS ANGELES";1963508;"Municipio";"Biobío";"Biobío";"Los Angeles";18;734262;5849572;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 20 01 21, 20 01 23 y 20 01 35";"Preparación para reutilización";"Valorización";5,44;"Declaración";2018;NA;"";"Traperos de Emaus";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE MARÍA PINTO";"ILUSTRE MUNICIPALIDAD DE MARÍA PINTO";4055181;"Municipio";"Metropolitana";"Melipilla";"María Pinto";19;302741;6289302;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos voluminosos";"Relleno sanitario";"Eliminación";40,97;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE FRESIA";"ILUSTRE MUNICIPALIDAD DE FRESIA";2154307;"Municipio";"Los Lagos";"Llanquihue";"Fresia";18;632889;5443383;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";186,34;"Declaración";2018;5465162;"RELLENO SANITARIO PROVINCIAL COMUNA DE PUERTO VARAS";"I MUNICIPALIDAD DE PUERTO VARAS | RELLENO SANITARIO PROVINCIAL COMUNA DE PUERTO VARAS";"Puerto Varas";"Los Lagos"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA UNIÓN";"I MUNICIPALIDAD DE LA UNION";911604;"Municipio";"Los Ríos";"Ranco";"La Unión";18;663110;5538175;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";1128;"Declaración";2018;4587637;"VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL";"I MUNICIPALIDAD VALDIVIA | VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL";"Valdivia";"Los Ríos"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PUDAHUEL";"ILUSTRE MUNICIPALIDAD DE PUDAHUEL";4053446;"Municipio";"Metropolitana";"Santiago";"Pudahuel";19;336025;6298307;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";88772,32;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE SAN MIGUEL";"I MUNICIPALIDAD DE SAN MIGUEL";253465;"Municipio";"Metropolitana";"Santiago";"San Miguel";19;346733;6293634;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Pretratamiento de Papel y Cartón";"Valorización";0,8;"Declaración";2018;5467277;"RECICLADOS INDUSTRIALES LA PINTANA";"RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES LA PINTANA";"La Pintana";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE RENCA";"ILUSTRE MUNICIPALIDAD DE RENCA";4053447;"Municipio";"Metropolitana";"Santiago";"Renca";19;341643;6302487;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Metales";"Pretratamiento de Metales";"Valorización";0,52;"Declaración";2018;5467254;"METALES Y ALUMINIOS SA RENCA";"METALES Y ALUMINIOS S.A. | METALES Y ALUMINIOS SA RENCA";"Renca";"Metropolitana"
"Municipio";"MUNICIPALIDAD DE LA REINA";"ILUSTRE MUNICIPALIDAD DE LA REINA";4053499;"Municipio";"Metropolitana";"Santiago";"La Reina";19;357800;6297500;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";16,59;"Declaración";2018;5468895;"RECIPET SA";"RECIPET S A | RECIPET SA";"Santiago";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE MARÍA PINTO";"ILUSTRE MUNICIPALIDAD DE MARÍA PINTO";4055181;"Municipio";"Metropolitana";"Melipilla";"María Pinto";19;302741;6289302;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";392,75;"Declaración";2018;5473212;"VERTEDERO POPETA";"I MUNICIPALIDAD DE MELIPILLA | VERTEDERO POPETA";"Melipilla";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE COIHUECO";"I MUNICIPALIDAD DE COIHUECO";1762916;"";"Biobío";"Ñuble";"Coihueco";19;246829;5942604;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";51;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁNGELES";"I MUNICIPALIDAD DE LOS ANGELES";1963508;"Municipio";"Biobío";"Biobío";"Los Angeles";18;734262;5849572;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos de mercados";"Relleno sanitario";"Eliminación";3865,51;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁNGELES";"I MUNICIPALIDAD DE LOS ANGELES";1963508;"Municipio";"Biobío";"Biobío";"Los Angeles";18;734262;5849572;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos de limpieza viaria";"Relleno sanitario";"Eliminación";2787,45;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PANQUEHUE";"I MUNICIPALIDAD DE PANQUEHUE";885976;"Municipio";"Valparaíso";"San Felipe de Aconcagua";"Panquehue";19;328280;6373052;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";2443,7;"Declaración";2018;5460838;"SERVICIOS GEA LTDA";"SERVICIOS GEA LIMITADA | SERVICIOS GEA LTDA";"San Felipe";"Valparaíso"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CHILLÁN";"I MUNICIPALIDAD DE CHILLAN";4587735;"Municipio";"Biobío";"Ñuble";"Chillán";18;759040;5944934;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";"Valorización";10,09;"Declaración";2018;5462303;"SOCIEDAD RECUPERADORA DE PAPELES";"SOC RECUPERADORA DE PAPEL S A | SOCIEDAD RECUPERADORA DE PAPELES";"Antofagasta";"Antofagasta"
"Municipio";"ILUSTRE MUNICIPALIDAD DE ARICA";"I MUNICIPALIDAD DE ARICA";244524;"";"Arica y Parinacota";"Arica";"Arica";NA;NA;NA;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Basural";"Eliminación";1546,4;"Declaración";2018;5473154;"VERTEDERO MUNICIPAL";"I MUNICIPALIDAD DE ARICA | VERTEDERO MUNICIPAL";"Arica";"Arica y Parinacota"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CONCHALÍ";"ILUSTRE MUNICIPALIDAD DE CONCHALÍ";4053495;"Municipio";"Metropolitana";"Santiago";"Conchalí";19;344563;6303533;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";48595,92;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE TALCAHUANO";"ILUSTRE MUNICIPALIDAD DE TALCAHUANO";1963655;"Municipio";"Biobío";"Concepción";"Talcahuano";18;668541;5935105;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";292,36;"Declaración";2018;2372;"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A";"Padre Hurtado";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CARTAGENA";"ILUSTRE MUNICIPALIDAD DE CARTAGENA";4055183;"Municipio";"Valparaíso";"San Antonio";"Cartagena";19;258268;6285020;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos voluminosos";"Relleno sanitario";"Eliminación";3740,8;"Declaración";2018;5452216;"RELLENO SANITARIO EL MOLLE";"GESTION INTEGRAL DE RESIDUOS S A | RELLENO SANITARIO EL MOLLE";"Valparaíso";"Valparaíso"
"Municipio";"ILUSTRE MUNICIPALIDAD DE VALPARAÍSO";"ILUSTRE MUNICIPALIDAD DE VALPARAÍSO";5441443;"Municipio";"Valparaíso";"Valparaíso";"Valparaíso";19;256029;6340442;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";428,38;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PUERTO VARAS";"I MUNICIPALIDAD DE PUERTO VARAS";253477;"Municipio";"Los Lagos";"Llanquihue";"Puerto Varas";18;668798;5424124;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";"Valorización";76;"Declaración";2018;5462303;"SOCIEDAD RECUPERADORA DE PAPELES";"SOC RECUPERADORA DE PAPEL S A | SOCIEDAD RECUPERADORA DE PAPELES";"Antofagasta";"Antofagasta"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PADRE HURTADO";"I MUNICIPALIDAD DE PADRE HURTADO";5441698;"Municipio";"Metropolitana";"Talagante";"Padre Hurtado";19;330842;6283316;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Lodos de fosas sépticas";"Co-procesamiento";"Valorización";1519,6;"Declaración";2018;5305;"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL";"AGUAS ANDINAS S A | PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL";"Padre Hurtado";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LONGAVÍ";"ILUSTRE MUNICIPALIDAD DE LONGAVÍ";3023089;"Municipio";"Maule";"Linares";"Longaví";19;258038;6016757;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Relleno sanitario";"Eliminación";202;"Declaración";2018;NA;"";"STARCO S.A.";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LONGAVÍ";"ILUSTRE MUNICIPALIDAD DE LONGAVÍ";3023089;"Municipio";"Maule";"Linares";"Longaví";19;258038;6016757;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Relleno sanitario";"Eliminación";954;"Declaración";2018;NA;"";"STARCO S.A.";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE COINCO";"ILUSTRE MUNICIPALIDAD DE COINCO";3022123;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cachapoal";"Coinco";19;320323;6206213;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Residuos de parques y jardines (incluidos los residuos de cementerios)";"Residuos biodegradables";"Relleno sanitario";"Eliminación";191,11;"Declaración";2018;NA;"";"MUNICIPALIDAD DE COINCO";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE COINCO";"ILUSTRE MUNICIPALIDAD DE COINCO";3022123;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cachapoal";"Coinco";19;320323;6206213;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Residuos de parques y jardines (incluidos los residuos de cementerios)";"Tierra y piedras";"Relleno sanitario";"Eliminación";16,99;"Declaración";2018;NA;"";"MUNICIPALIDAD DE COINCO";"";""
"Municipio";"MUNICIPALIDAD DE PROVIDENCIA";"I MUNICIPALIDAD DE PROVIDENCIA";4585273;"Municipio";"Metropolitana";"Santiago";"Providencia";19;350394;6299660;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Aceites y grasas comestibles";"Preparación para reutilización";"Valorización";15,4;"Declaración";2018;NA;"";"Comercial Sergio Lazo Ltda.";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA LIGUA";"ILUSTRE MUNICIPALIDAD DE LA LIGUA";881994;"Municipio";"Valparaíso";"Petorca";"La Ligua";19;290221;6407507;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";11,47;"Declaración";2018;NA;"";"Transcoll";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE PEÑAFLOR";"I MUNICIPALIDAD DE PENAFLOR";4053450;"Municipio";"Metropolitana";"Talagante";"Peñaflor";19;323839;6279867;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";18318;"Declaración";2018;78709;"RELLENO SANITARIO SANTIAGO PONIENTE";"VEOLIA SU CHILE SA | RELLENO SANITARIO SANTIAGO PONIENTE";"Maipú";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA UNIÓN";"I MUNICIPALIDAD DE LA UNION";911604;"Municipio";"Los Ríos";"Ranco";"La Unión";18;663110;5538175;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";1308;"Declaración";2018;4587637;"VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL";"I MUNICIPALIDAD VALDIVIA | VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL";"Valdivia";"Los Ríos"
"Municipio";"ILUSTRE MUNICIPALIDAD DE MELIPILLA";"ILUSTRE MUNICIPALIDAD DE MELIPILLA";4055178;"Municipio";"Metropolitana";"Melipilla";"Melipilla";19;294528;6270473;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";6,248;"Declaración";2018;5468895;"RECIPET SA";"RECIPET S A | RECIPET SA";"Santiago";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE ARAUCO";"I MUNICIPALIDAD DE ARAUCO";1965223;"Municipio";"Biobío";"Arauco";"Arauco";18;649121;5876058;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";55;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"MUNICIPALIDAD DE PUENTE ALTO";"I MUNICIPALIDAD DE PUENTE ALTO";5463019;"Municipio";"Metropolitana";"Cordillera";"Puente Alto";19;353437;6281861;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje";"Valorización";51,7;"Declaración";2018;5462818;"RECUPAC SUCURSAL LA SERENA";"RECUPAC S A | RECUPAC SUCURSAL LA SERENA";"La Serena";"Coquimbo"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LAJA";"ILUSTRE MUNICIPALIDAD DE LAJA";325228;"Municipio";"Biobío";"Biobío";"Laja";18;702202;5872579;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";6530,74;"Declaración";2018;5453436;"RELLENO SANITARIO LOS ANGELES";"DEMARCO S A | RELLENO SANITARIO LOS ANGELES";"Los Angeles";"Biobío"
"Municipio";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";431261;"Municipio";"Metropolitana";"Santiago";"Independencia";19;346178;6300803;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";21,17;"Declaración";2018;5460605;"RECIPACK LTDA";"COMERCIAL E INDUSTRIAL RECIPACK LIMITADA | RECIPACK LTDA";"Colina";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE TEMUCO";"I MUNICIPALIDAD DE TEMUCO";1965235;"Municipio";"Araucanía";"Cautín";"Temuco";18;709441;5709773;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Pretratamiento de Neumáticos Fuera de Uso";"Valorización";12,2;"Declaración";2018;5474061;"ZONA DE ACOPIO";"KONA FUEL SPA. | ZONA DE ACOPIO";"Talcahuano";"Biobío"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PUCHUNCAVÍ";"I MUNICIPALIDAD DE PUCHUNCAVI";4055168;"";"Valparaíso";"Valparaíso";"Puchuncaví";19;273571;6376459;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";72,5;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PELLUHUE";"I MUNICIPALIDAD DE PELLUHUE";4085541;"Municipio";"Maule";"Cauquenes";"Pelluhue";18;719092;6033951;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";4036,02;"Declaración";2018;6054;"RELLENO SANITARIO DEL MAULE S.A.";"RELLENOS SANITARIOS DEL MAULE S A | RELLENO SANITARIO DEL MAULE S.A.";"Talca";"Maule"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CODEGUA";"I MUNICIPALIDAD DE CODEGUA";4054480;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cachapoal";"Codegua";19;346042;6232254;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";3,47;"Declaración";2018;5460689;"GREENPLAST SA";"GREENPLAST SA | GREENPLAST SA";"Lampa";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE MARÍA PINTO";"ILUSTRE MUNICIPALIDAD DE MARÍA PINTO";4055181;"Municipio";"Metropolitana";"Melipilla";"María Pinto";19;302741;6289302;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Metales";"Relleno sanitario";"Eliminación";4,046;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE NACIMIENTO DEPARTAMENTO DE SLAUD";"I MUNICIPALIDAD DE NACIMIENTO";1963515;"Municipio";"Biobío";"Biobío";"Nacimiento";18;705897;5846841;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Aceites y grasas comestibles";"Pretratamiento de aceites y grasas comestibles";"Valorización";3,97;"Declaración";2018;5466728;"SOCIEDAD GENERAL RENDERING CHILE SA";"SOCIEDAD GENERAL RENDERING CHILE LIMITADA | SOCIEDAD GENERAL RENDERING CHILE SA";"Lampa";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE COIHUECO";"I MUNICIPALIDAD DE COIHUECO";1762916;"";"Biobío";"Ñuble";"Coihueco";19;246829;5942604;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";5799,71;"Declaración";2018;244575;"ECOBIO";"ECOBIO SA | ECOBIO";"Chillán Viejo";"Biobío"
"Municipio";"ILUSTRE MUNICIPALIDAD DE TALAGANTE";"ILUSTRE MUNICIPALIDAD DE TALAGANTE";4053451;"Municipio";"Metropolitana";"Talagante";"Talagante";19;321298;6273299;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje";"Valorización";4,674;"Declaración";2018;5462818;"RECUPAC SUCURSAL LA SERENA";"RECUPAC S A | RECUPAC SUCURSAL LA SERENA";"La Serena";"Coquimbo"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LICANTÉN";"ILUSTRE MUNICIPALIDAD DE LICANTÉN";3023083;"Municipio";"Maule";"Curicó";"Licantén";19;227646;6124248;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Relleno sanitario";"Eliminación";3571;"Declaración";2018;6054;"RELLENO SANITARIO DEL MAULE S.A.";"RELLENOS SANITARIOS DEL MAULE S A | RELLENO SANITARIO DEL MAULE S.A.";"Talca";"Maule"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LONCOCHE";"ILUSTRE MUNICIPALIDAD DE LONCOCHE";1986451;"";"Araucanía";"Cautín";"Loncoche";18;704100;5639388;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";4073;"Declaración";2018;5473727;"RELLENO SANITARIO COMUNA DE VILLARRICA";"CONSTRUCTORA VILLARRICA LIMITADA | RELLENO SANITARIO COMUNA DE VILLARRICA";"Villarrica";"Araucanía"
"Municipio";"ILUSTRE MUNICIPALIDAD DE ARICA";"I MUNICIPALIDAD DE ARICA";244524;"";"Arica y Parinacota";"Arica";"Arica";NA;NA;NA;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Residuos de parques y jardines (incluidos los residuos de cementerios)";"Residuos biodegradables";"Basural";"Eliminación";1249,3;"Declaración";2018;5473154;"VERTEDERO MUNICIPAL";"I MUNICIPALIDAD DE ARICA | VERTEDERO MUNICIPAL";"Arica";"Arica y Parinacota"
